제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
4월의키스,  2004년 4월 21일 ~ 2004년 7월 8일 ,"  수요일, 목요일 오후 9:50 ~ ", 24부작 ,"  멜로, 드라마 ",  한국방송공사 ,2004-04-21 00:00:00
17세의조건,  2019년 8월 5일 ~ 2019년 8월 6일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  2부작 ,,  SBS ,2019-08-05 00:00:00
디어마이프렌즈, 2016년 5월 13일 ~ 7월 2일 ," 매주 금요일, 토요일 밤 8시 30분 ", 16부작 ,, tvN ,2016-05-13 00:00:00
"왕관을쓰려는자,그무게를견뎌라-상속자들", 2013년 10월 9일 ~ 2013년 12월 12일 ," 수요일, 목요일 밤 10시 ", 20부작 ," 드라마, 학원물, 로맨스, 가족암투극 ",,2013-10-09 00:00:00
방법,  2020년 2월 10일 ~ 2020년 3월 17일 ,"  월요일, 화요일 오후 9:30 ~ ",  12부작 + 스페셜 1부작 ,,  tvN ,2020-02-10 00:00:00
조선로코녹두전,  2019년 9월 30일 ~ 2019년 11월 25일 ,"  월요일, 화요일 오후 10시 ~ 오후 11시 10분 ",  32화 ,,  KBS 2TV | wavve ,2019-09-30 00:00:00
이죽일놈의사랑,   2005년 10월 31일 ~  2005년 12월 20일 ,"  월요일, 화요일 오후 9:55 ~ ",  16부작 ,"  멜로, 드라마 ",  KBS 2TV ,2005-10-31 00:00:00
너희들은포위됐다,  2014년 5월 7일 ~ 2014년 7월 17일 ,"  수요일, 목요일 오후 10:00~ ",  20부작 ,"  로맨스, 수사물, 액션, 범죄 ",  SBS ,2014-05-07 00:00:00
넌어느별에서왔니,  2006년 3월 13일 ~ 2006년 5월 2일 ,"  매주 월요일, 화요일 밤 9시 55분 ",  16부작 ,,  문화방송 ,2006-03-13 00:00:00
개인주의자지영씨,  2017년 5월 8일 ~ 2017년 5월 9일 ,"  월요일, 화요일 오후 10:00 ",  2부작 ,"   드라마, 로맨스 ",  KBS 2TV ,2017-05-08 00:00:00
해피엔딩,  2012년 4월 23일 ~ 2012년 7월 16일 ,"  월요일, 화요일 밤 8시 45분 ~ 9시 55분 ",  24부작 ,  휴먼 코미디 ,  JTBC ,2012-04-23 00:00:00
장길산,  2004년 5월 17일 ~ 2004년 11월 16일 ,"  매주 월요일, 화요일 밤 9시 55분~ ",  50부작 ,,  SBS ,2004-05-17 00:00:00
한성별곡,  2007년 7월 9일 ~ 2007년 7월 31일 ,"  월요일, 화요일 밤 9시 55분 ~ 11시 5분 ",  8부작 ,  퓨전 사극 ,  KBS 2TV ,2007-07-09 00:00:00
아름다운그대에게,  2012년 8월 15일 ~ 2012년 10월 4일 ,"  수요일, 목요일 9:55 ~ 11:05 ",  16부작 ,"  학원물, 로맨스, 청춘 ",  SBS ,2012-08-15 00:00:00
샐러리맨초한지,  2012년 1월 2일 ~ 2012년 3월 13일 ,"  월요일, 화요일 밤 09:55 ~ 11:15 ",  22부작 + 스페셜 2부작 ,"  코미디, 스릴러 ",  서울방송 ,2012-01-02 00:00:00
미스터션샤인,  2018년 7월 7일 ~ 2018년 9월 30일  ,"  매주 토요일, 일요일 밤 9시 ~ ",  24부작 ,"  시대극, 멜로, 로맨스, 드라마 ",,2018-07-07 00:00:00
빅,  2012년 6월 4일 ~ 2012년 7월 24일 ,"  월요일, 화요일 9시 55분 ~ 11시 15분 ",  16부작 ,"  로맨틱 코미디, 막장 드라마 ",  KBS 2TV ,2012-06-04 00:00:00
보이스,  2017년 1월 14일 ~ 2017년 3월 12일 ,"  토요일, 일요일 10시 ",  16부작 ,"  범죄물, 액션, 스릴러 ",  OCN ,2017-01-14 00:00:00
달자의봄,  2007년 1월 3일 ~ 2007년 3월 15일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 15분 ",  22부작 ,  드라마 ,  한국방송공사 ,2007-01-03 00:00:00
연애말고결혼,,,  16부작 ,,  tvN ,unknown
막돼먹은영애씨,,, 301회(17시즌 종료일인 2019년 4월 26일 기준),, tvN,unknown
앵그리맘,  2015년 3월 18일 ~ 2015년 5월 7일 ,"  매주 수요일, 목요일 밤 9시 55분 ",  16부작 ,,  문화방송 ,2015-03-18 00:00:00
신입사관구해령,  2019년 7월 17일 ~ 2019년 9월 26일  ,"  수요일, 목요일 밤 8시 55분 ~ 10시 5분 ",  40부작 + 스페셜 2부작 ,,  문화방송 | Netflix ,2019-07-17 00:00:00
슈퍼대디열, 2015년 3월 13일 ~ 2015년 5월 2일," 매주 금요일, 토요일 밤 8시 30분", 16부작,, tvN,2015-03-13 00:00:00
강적들,   2008년 4월 14일 ~ 2008년 6월 3일 ,"  월요일, 화요일 오후 9:50~10:50 ",  16부작 ,,  KBS 2TV ,2008-04-14 00:00:00
내뒤에테리우스,  2018년 9월 27일 ~ 2018년 11월 15일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  첩보, 로맨틱 코미디 ",  문화방송 ,2018-09-27 00:00:00
SKY캐슬, 2018년 11월 23일 ~ 2019년 2월 1일 ," 금요일, 토요일 오후 11시 ", 20부작 ,,,2018-11-23 00:00:00
불한당,  2008년 1월 2일 ~ 2008년 2월 28일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  16부작 ,  드라마 ,  SBS ,2008-01-02 00:00:00
어셈블리,  2015년 7월 15일 ~ 2015년 9월 17일  ,"  수요일, 목요일 오후 10:00~ ",  20부작 ,  정치 ,  KBS 2TV ,2015-07-15 00:00:00
갑동이,  2014년 4월 11일 ~ 2014년 6월 21일 ,"  금요일, 토요일 오후 8:40~ ",  16부작 ,, tvN ,2014-04-11 00:00:00
조선총잡이,  2014년 6월 25일 ~ 2014년 9월 4일 ,"  수요일, 목요일 10:00 ~ 11:15 ",  22부작 ,"  시대극, 히어로 ",  한국방송공사 ,2014-06-25 00:00:00
101번째프로포즈,  2006년 5월 29일 ~ 2006년 7월 25일 ,"  월요일, 화요일 오후 9:55~ ",  15부작 ,  로맨틱코미디 ,  SBS ,2006-05-29 00:00:00
포레스트,  ON AIR 2020년 1월 29일 ~ 2020년 3월 19일 (예정) ,"  수요일, 목요일 오후 10시 ~ 11시 10분 ",  32부작 ,,  KBS 2TV ,unknown
열혈사제,  2019년 2월 15일 ~ 2019년 4월 20일 ,"  금요일, 토요일 오후 10:00~11:10 ",  40부작 + 스페셜 1부작 + 스페셜 우리는 열혈사이다 ,  블랙 코미디 ,  SBS ,2019-02-15 00:00:00
이판사판,  2017년 11월 22일 ~ 2018년 1월 11일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,,  SBS ,2017-11-22 00:00:00
화유기,  2017년 12월 23일 ~ 2018년 3월 4일 ,"  매주 토요일, 일요일 밤 9시 ",  20회 ,  드라마 ,  tvN ,2017-12-23 00:00:00
로드넘버원,   2010년 6월 23일 ~ 2010년 8월 26일 ,"  수요일, 목요일 밤 9시 55분 ~ ",  20부작 ,"  드라마, 전쟁 ",  문화방송 ,2010-06-23 00:00:00
"미안하다,사랑한다",  2004년 11월 8일 ~ 2004년 12월 28일 ,"  월요일, 화요일 오후 9:55 ~ ", 16부작 ,"  멜로, 드라마 ",  한국방송공사 ,2004-11-08 00:00:00
힘쎈여자도봉순,   2017년 2월 24일 ~ 2017년 4월 15일  ,"  금요일, 토요일 오후 11시 ",  16부작 ,"  판타지, 로맨스, 코미디, 범죄, 드라마 ",  JTBC ,2017-02-24 00:00:00
백년의유산,  2013년 1월 5일 ~ 2013년 6월 23일 ,"  매주 토요일, 일요일 밤 9시 55분 ",  50부작 ,  막장 드라마 ,  문화방송 ,2013-01-05 00:00:00
루갈,  2020년 3월 28일 ~ (예정) ,"  토요일, 일요일 오후 10시 50분~  ",  16부작 ,"  범죄, 액션  ",  OCN ,2020-03-28 00:00:00
굿와이프, 2016년 7월 8일 ~ 2016년 8월 27일 ," 매주 금요일, 토요일 밤 8시 30분", 16부작,, tvN,2016-07-08 00:00:00
나인룸,  2018년 10월 6일 ~ 2018년 11월 25일 ,"  매주 토요일, 일요일 밤 9시 ",  16부작 ,,  tvN ,2018-10-06 00:00:00
눈의여왕,  2006년 11월 13일 ~ 2007년 1월 8일 ,"  월요일, 화요일 밤 9:55~ ",  16부작 ,"  판타지, 멜로, 드라마 ",  한국방송공사 ,2006-11-13 00:00:00
닥터프로스트,  2014년 11월 23일 ~ 2015년 2월 1일 ,  매주 일요일 밤 11시 ,  10부작 ,  범죄 ,  OCN_LOGO.png ,2014-11-23 00:00:00
미생, 2014년 10월 17일 ~ 2014년 12월 20일," 매주 금요일, 토요일 밤 8시 30분", 20부작,, tvN,2014-10-17 00:00:00
절대그이,  2019년 5월 15일 ~ 2019년 7월 11일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  36부작 ,"  판타지, 로맨스 ",  SBS ,2019-05-15 00:00:00
이리와안아줘,  2018년 5월 16일 ~ 2018년 7월 19일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  범죄, 로맨스 ",  문화방송 ,2018-05-16 00:00:00
기억, 2016년 3월 18일 ~ 2016년 5월 7일 ," 매주 금요일, 토요일 밤 8시 30분 ", 16부작 ,, tvN ,2016-03-18 00:00:00
추리의여왕시즌2,  2018년 2월 28일 ~ 2018년 4월 19일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2018-02-28 00:00:00
결혼계약,  2016년 3월 5일 ~ 2016년 4월 24일 ,"  토요일, 일요일 밤 10시 ",  16부작 ,"  가족, 멜로 ",  문화방송 ,2016-03-05 00:00:00
응급남녀,  2014년 1월 24일 ~ 2014년 4월 5일 ,"  매주 금요일, 토요일 밤 8시 40분 ",  21부작 ,,  tvN ,2014-01-24 00:00:00
신드롬,  2012년 2월 13일 ~ 2012년 4월 17일 ,"  월요일, 화요일 밤 8시 45분 ~ 9시 55분 ",  20부작 ,  의학 드라마 ,  JTBC ,2012-02-13 00:00:00
우아한가,  2019년 8월 21일 ~ 2019년 10월 17일 ,"  매주 수요일, 목요일 밤 11:00 ~ ",  16부작 ,  드라마 ,  MBN | Dramax ,2019-08-21 00:00:00
부잣집아들,  2018년 3월 25일 ~ 2018년 10월 7일 ,  일요일 밤 8:45 ~ 11:05  ,  100부작 ,,  문화방송 ,2018-03-25 00:00:00
피고인,  2017년 1월 23일 ~ 2017년 3월 21일 ,"  월요일, 화요일 오후 10:00 ~ ",  18부작 ,"  법정,서스펜스 ",  SBS ,2017-01-23 00:00:00
역전의여왕,  2010년 10월 18일 ~ 2011년 2월 1일 ,"  월요일, 화요일 오후 10:00~11:10 ",  31부작 ,,  문화방송 ,2010-10-18 00:00:00
보스를지켜라,  2011년 8월 3일 ~ 2011년 9월 29일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  18부작 ,"  드라마, 로맨틱 코미디 ",  서울방송 ,2011-08-03 00:00:00
황진이,  2006년 10월 11일 ~ 2006년 12월 28일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 15분 ",  24부작 ,"  드라마, 퓨전 사극 ",  한국방송공사 ,2006-10-11 00:00:00
검사내전,  2019년 12월 16일 ~ 2020년 2월 11일 ,"  월요일, 화요일 오후 9:30 ~ ",  16부작 ,  법정물 ,  JTBC ,2019-12-16 00:00:00
트리플,  2009년 6월 11일 ~ 2009년 7월 30일 ,"  수요일, 목요일 밤 09:55 ~ 11:05 ",  16부작 ,  드라마 ,  문화방송 ,2009-06-11 00:00:00
"미치겠다,너땜에!",  2018년 5월 7일 ~ 2018년 5월 8일 ,"   월요일, 화요일 밤 10시 ",  4부작 ,,  문화방송 ,2018-05-07 00:00:00
육룡이나르샤,  2015년 10월 5일 ~ 2016년 3월 22일 ,"  월요일, 화요일 오후 10:00~ ",  50부작 ,  대하퓨전사극 ,  SBS ,2015-10-05 00:00:00
난폭한로맨스,  2012년 1월 4일 ~ 2012년 2월 23일 ,"  수요일, 목요일 밤 9시 55분 ",  총 16부작 ,,  KBS 2TV ,2012-01-04 00:00:00
왕은사랑한다,  2017년 7월 17일 ~ 2017년 9월 19일 ,"  월요일, 화요일 밤 10시 ~ 밤 11시 10분 ",  40부작 ,,  문화방송 ,2017-07-17 00:00:00
시카고타자기,  2017년 4월 7일 ~ 2017년 6월 3일 ,"  매주 금요일, 토요일 저녁 8시, 8시 30분 ",  16부작 ,"  로맨스, 드라마, 판타지, 코미디, 시대극, 미스터리 ",  tvN ,2017-04-07 00:00:00
아이리스,  2009년 10월 14일 ~ 2009년 12월 17일 ,"  수요일, 목요일 09:55 ~ 11:15 ",  20부작+ 스페셜 1부작 ,"  드라마, 블록버스터 첩보액션 ",  한국방송공사 ,2009-10-14 00:00:00
마이리틀베이비,  2016년 3월 5일 ~ 2016년 4월 23일  ,  토요일 밤 12시 40분(2회 방송)  ,  16부작 ,  코믹 ,  문화방송 ,2016-03-05 00:00:00
안녕하세요하느님,  2006년 1월 9일 ~  2006년 2월 28일 ,"  월요일, 화요일 오후 9:55 ~ ",  16부작 ,"  멜로, 드라마 ",  KBS 2TV ,2006-01-09 00:00:00
사랑했나봐,  2012년 10월 15일 ~ 2013년 5월 3일 ,  월요일 ~ 금요일 오전 7시 50분 ,  144부작 ,   막장 드라마 ,  문화방송 ,2012-10-15 00:00:00
불량가족,  2006년 3월 22일 ~ 2006년 5월 11일 ,"  수요일, 목요일 밤 8시 55분 ~ 10시 5분 ",  16부작 ,,  SBS ,2006-03-22 00:00:00
나도엄마야,  2018년 5월 28일 ~ 2018년 11월 23일 ,  월요일 ~ 금요일 오전 8시 40분 ~ 9시 10분 ,  124부작 ,,  SBS ,2018-05-28 00:00:00
투명인간최장수,  2006년 7월 5일 ~ 2006년 9월 7일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  20부작 ,  드라마 ,  한국방송공사 ,2006-07-05 00:00:00
보고싶다,  2012년 11월 7일 ~ 2013년 1월 17일 ,"  수요일, 목요일 오후 9시 55분~ ",  21부작 ,,  문화방송 ,2012-11-07 00:00:00
너의노래를들려줘,  2019년 8월 5일 ~ 2019년 9월 24일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  32부작 ,"  미스터리, 로맨틱 코미디 ",  KBS 2TV ,2019-08-05 00:00:00
눈이부시게,  2019년 2월 11일 ~ 2019년 3월 19일 ,"  월요일, 화요일 오후 9시 30분 ",  12부작 ,"  로맨스, 판타지,현실 ",  JTBC ,2019-02-11 00:00:00
로봇이아니야,  2017년 12월 6일 ~ 2018년 1월 25일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  로맨틱 코미디, 휴먼 ",  문화방송 문화방송 ,2017-12-06 00:00:00
검법남녀,  2018년 5월 14일 ~ 2018년 7월 17일 ,"  월요일, 화요일 밤 10시 00분 ~ 11시 10분 ",  32부작 ,"  법의학, 수사물 ",  문화방송 ,2018-05-14 00:00:00
닥터스,  2016년 6월 20일 ~ 2016년 8월 23일 ,"  월요일, 화요일 오후 10:00~ ",  20부작 ,"  의학,휴먼,멜로 ",  SBS ,2016-06-20 00:00:00
용왕님보우하사,  2019년 1월 14일 ~ 2019년 7월 12일 ,  월요일 ~ 금요일 오후 6시 50분 ~ 7시 30분 ,  121부작 ,,  문화방송 ,2019-01-14 00:00:00
쾌도홍길동,  2008년 1월 2일 ~ 2008년 3월 26일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  24부작 ,"  드라마, 퓨전 사극 ",  한국방송공사 ,2008-01-02 00:00:00
여우야뭐하니,  2006년 9월 20일 ~ 2006년 11월 9일 ,"  수요일, 목요일 9:55 ~ 11:05 ",  16부작 ,"  드라마, 로맨틱 코미디 ",  문화방송 ,2006-09-20 00:00:00
나쁜형사,  2018년 12월 3일 ~ 2019년 1월 29일 ,"  월요일, 화요일 오후 10:00~11:10 ",  32부작 ,  수사물 ,  문화방송 ,2018-12-03 00:00:00
최고의연인,  2015년 12월 7일 ~ 2016년 5월 20일 ,  월요일 ~ 금요일 오후 7시 15분 ,  116부작 ,"  가족, 로맨스, 막장 드라마 ",  문화방송 ,2015-12-07 00:00:00
당신은너무합니다,  2017년 3월 4일 ~ 2017년 8월 27일 ,"  토요일, 일요일 밤 8시 45분 ",  50부작 ,  막장 드라마  ,  문화방송 ,2017-03-04 00:00:00
메이퀸,  2012년 8월 18일 ~ 2012년 12월 23일 ,"  매주 토요일, 일요일 밤 9시 50분 ",  38부작 ,,  문화방송 ,2012-08-18 00:00:00
웨딩,  2005년 8월 23일 ~2005년 10월 25일 ,"  월요일, 화요일 오후 9:55 ~ ",  18부작 ,"  멜로, 드라마 ",  KBS 2TV ,2005-08-23 00:00:00
그녀의신화,  2013년 8월 5일 ~2013년 10월 8일 ,"  월요일, 화요일 밤 9시 50분~ ",  20부작 ,,  JTBC ,2013-08-05 00:00:00
엄마가바람났다,  2020년 5월 4일 ~ 2020년 10월 16일 ,   평일 오전 8시 35분 ~ 9시 10분,  120부작 (예정) ,,  SBS ,2020-05-04 00:00:00
부부의세계,  2020년 3월 27일 ~ 2020년 5월 16일 (예정) ,"  금, 토 오후 10:50 ~ ",  16부작 ,,  JTBC ,2020-03-27 00:00:00
투깝스,  2017년 11월 27일 ~ 2018년 1월 16일 ,"  월요일, 화요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  판타지, 수사물, 로맨스 ",  문화방송 문화방송 ,2017-11-27 00:00:00
강남스캔들,  2018년 11월 26일 ~ 2019년 5월 17일,  월요일 ~ 금요일 오전 8시 40분 ~ 9시 10분 ,  123부작 ,"  막장드라마, 가족드라마 ",  SBS ,2018-11-26 00:00:00
올인,  2003년 1월 15일 ~ 2003년 4월 3일 ,"  수요일, 목요일 밤 9시 55분 ",  24부작 ,,  SBS ,2003-01-15 00:00:00
피노키오,  2014년 11월 12일 ~ 2015년 1월 15일 ,"  수요일, 목요일 밤 10시 ",  20부작 ,  멜로 ,  SBS ,2014-11-12 00:00:00
내성적인보스, 2017년 1월 16일 ~ 2017년 3월 14일," 매주 월요일, 화요일 밤 11시", 16부작 ,, tvN,2017-01-16 00:00:00
김과장,  2017년 1월 25일 ~ 2017년 3월 30일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  20부작 ,,  KBS 2TV ,2017-01-25 00:00:00
마이프린세스,  2011년 1월 5일 ~ 2011년 2월 24일 ,"  수요일, 목요일 오후 10:00~11:10 ",  16부작 ,  로맨틱 코미디 ,  문화방송 ,2011-01-05 00:00:00
타짜,  2008년 9월 16일 ~ 2008년 11월 25일 ,"  월요일, 화요일 오후 9:55~ ",  21부작 ,,  SBS ,2008-09-16 00:00:00
특수사건전담반TEN,,,,  범죄 ,  OCN_LOGO.png ,unknown
탁구공,  2018년 9월 17일 ~ 2018년 9월 18일 ,"  월요일, 화요일 오후 11시 ",  2부작 ,  드라마 ,  JTBC ,2018-09-17 00:00:00
이산,  2007년 9월 17일 ~ 2008년 6월 16일 ,"  월요일, 화요일 9:55 ~ 11:05 ",  77부작 ,"  드라마, 퓨전사극 ",  문화방송 ,2007-09-17 00:00:00
수상한가정부,   2013년 9월 23일 ~ 2013년 11월 26일 ,"  월요일, 화요일 오후 9:55~ ",  20부작 ,,  SBS ,2013-09-23 00:00:00
모두다김치,  2014년 4월 7일 ~ 2014년 10월 31일 ,  월요일 ~ 금요일 오전 7시 50분 ,  132부작 ,  막장 드라마 ,  문화방송 ,2014-04-07 00:00:00
49일,  2011년 3월 16일 ~ 2011년 5월 19일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  20부작 ,  판타지 드라마 ,  SBS ,2011-03-16 00:00:00
로맨스타운,  2011년 5월 11일 ~ 2011년 7월 14일 ,"  수요일, 목요일 오후 9:55~11:05 ",  20부작 ,  로맨틱 코미디 ,  KBS 2TV ,2011-05-11 00:00:00
명랑소녀성공기,  2002년 3월 13일 ~ 2002년 5월 2일 ,"  수요일, 목요일 오후 9시 55분 ~ 오후 11시 5분  ",  16부작 ,,  SBS ,2002-03-13 00:00:00
울랄라부부,  2012년 10월 1일 ~ 2012년 11월 27일 ,"  월요일, 화요일 오후 10:00~11:05 ",  18부작 ,  코믹 ,  KBS 2TV ,2012-10-01 00:00:00
