제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
9회말2아웃, 2007년 7월 14일 ~ 2007년 9월 9일, 16부작, 텔레비전 드라마, MBC," 윤신애, 정영범 사과나무픽쳐스, 
아이제이엔터테인먼트02", 여지나 ," 수애, 이정진, 이태성, 황지현, 이상우 (배우)",2007-07-14 00:00:00
거짓말, 1998년 3월 30일 ~ 1998년 6월 2일, 20회, 드라마, 한국방송공사, KBS 드라마본부, 노희경," 배종옥, 이성재 (배우), 유호정, 김상중 외",1998-03-30 00:00:00
사랑은아무나하나, 2009년 3월 7일 ~ 2009년 8월 23일, 50부작, 텔레비전 드라마 드라마음악, SBS, , 최순식 (작가) ," 지수원, 유호정, 한고은, 손화령 외",2009-03-07 00:00:00
정도전, 2014년 1월 4일 ~ 2014년 6월 29일2017년 5월 30일 ~ 2017년 8월 29일(재방송), 50부작, 사극 , KBS 1TV, KBS 드라마본부, 정현민, 조재현임호 (배우)이아현박진우 (1983년)전현임대호이병욱 (배우)김민주 (배우)남성진정호근김민상 (1968년)정희태김철기 (배우)김승욱이광기송금식송용태김주영 (1952년)김진태 (배우)박지일이덕희 (배우)이일화김명수 (배우)박병호 (배우)선동혁안재모박영규 (배우)서인석 (배우)유동근,2014-01-04 00:00:00
신의퀴즈3, 2012년 5월 20일 ~ 2012년 8월 12일, 12부작," 의학수사물, 텔레비전 드라마 드라마음악 드라마음악 드라마음악", OCN (방송), , 박재범," 류덕환, 안내상, 최정우 (배우) 외",2012-05-20 00:00:00
대왕의길, 1998년 4월 15일 ~ 1998년 8월 13일, 34부작, 사극, MBC, , 임충 (작가)," 박근형, 임호 (배우), 홍리나 외",1998-04-15 00:00:00
꼰대인턴, 2020년 5월 20일 첫방송 예정, 32부작," 코믹오피스, 휴먼", MBC TV,  , 신소라," 박해진, 김응수 (배우),  외",2020-05-20 00:00:00
하이에나, 2020년 2월 21일 ~ 2020년 4월 11일, 16부작," 법률, 음악", SBS TV, 키이스트, 김루리, ,2020-02-21 00:00:00
누구세요?, 2008년 3월 5일 ~ 2008년 5월 1일, 17부작, 텔레비전 드라마, 문화방송," 정훈탁, 장진욱, 정호철", 배유미 (작가) ," 윤계상, 고아라, 강남길, 김지한 외",2008-03-05 00:00:00
신데렐라맨, 2009년 4월 15일 ~ 2009년 6월 4일, 16부작, 텔레비전 드라마, 문화방송," MBK 엔터테인먼트(외주제작사), MBC 드라마 제작국김광수 (1961년), 김광일, 이재혁", 조윤영," 권상우, 임윤아, 송창의, 한다감 외",2009-04-15 00:00:00
나는천사가아니다, 1993년 7월 12일 ~ 1993년 8월 3일, 8부작, 드라마, 문화방송, , 최순식," 이동준, 이응경, 이영범, 김승환 외",1993-07-12 00:00:00
옥란면옥, 2018년 9월 26일, 2부작, 드라마, KBS 제2TV," 김추석, 안창현 오형제", 조용," 신구 (배우), 김강우, 이설 외",2018-09-26 00:00:00
여고동창생, 1976년 5월 24일 ~ 1976년 12월 11일, 174부작, 드라마, MBC TV, , 김수현 (작가) ," 김혜자, 남정임, 윤여정 외
}}

《여고 동창생》은 1976년 5월 24일부터 1976년 12월 11일까지 방영한 문화방송 일일연속극이다.

한편, 이 드라마의 주제가 〈여고 동창생〉은 김수현 작사, 김희갑 작곡, 양희은 노래로, 1976년 11월 5일 이주원, 이필원, 양희은이 낸 앨범에 수록되었다.

 등장 인물 
 김혜자  : 화영
 남정임  : 영애
 윤여정  : 김신자
 김윤경 (1949년)  : 수미
 나문희  : 봉란
 김소원
 박규채
 김영옥 (배우)
 남능미
 남성훈 : 이경준
 조경환 (배우) : 홍풍선
 이정길 (1944년) : 우웅기

{{전후 방송",1976-05-24 00:00:00
러브어게인, 2012년 4월 25일 ~ 2012년 6월 20일, 16부작, 드라마, JTBC, DRAMAHOUSE, 김은희 ," 김지수 (1972년), 류정한, 이아현, 최철호 외",2012-04-25 00:00:00
누나의거울, 1999년 9월 27일 ~ 2000년 4월 15일, , 드라마, 한국방송공사,, 손영목 (작가)," 홍리나, 정재곤, 김명수, 권이지 (배우) 외",1999-09-27 00:00:00
숲속의바람, 1992년 5월 2일 ~ 1992년 10월 11일, 48부작, 드라마, KBS2, , 안양자," 홍학표, 이미연 (배우), 조민수 (배우), 송승환 외",1992-05-02 00:00:00
빛과그림자, 1985년 1월 12일, 2부작, , MBC,  , 박찬성, ,1985-01-12 00:00:00
유심초, 1991년 12월 16일 ~ 1992년 5월 14일, 84부작, 사극 드라마, 서울방송 (구 서울방송),, 신봉승, 아래 참고,1991-12-16 00:00:00
유리구두, 2002년 3월 2일 ~ 2002년 7월 28일, 40부작, 드라마, SBS, 김종학프로덕션, 강은경," 김현주 (1977년), 김지호 (배우), 한재석, 소지섭 외",2002-03-02 00:00:00
맏이, 1998년 1월 5일 ~ 1998년 7월 11일, 161부작,, 문화방송, 엠비씨씨앤아이, 이정선," 박상아, 오대규, 김정난, 김의성 외",1998-01-05 00:00:00
파문, 1989년 6월 7일 ~ 9월 13일, 28부작," 드라마, 사극", 문화방송, , 신봉승," 전국근, 김용건, 이휘향, 고두심 외",1989-06-07 00:00:00
순정, 2001년 9월 3일 ~ 2001년 10월 30일, 16부작, 드라마, 한국방송공사,, 이경희 (1969년)," 류진 (배우), 이요원, 이종원 (배우), 손태영, 염정아",2001-09-03 00:00:00
당신의여자, 2013년 2월 18일 ~ 2013년 8월 2일, 120부작, 멜로드라마, SBS TV, SBS, 이도영," 주연 : 이유리, 박윤재, 임호 (배우), 박영린  외",2013-02-18 00:00:00
사랑의조건, 1993년 4월 5일 ~ 1993년 9월 25일, 150부작, 드라마, 서울방송,, 박현주 (작가)," 강문영, 임성민 (1956년), 나영희, 서정민",1993-04-05 00:00:00
결혼하고싶은여자, 2004년 4월 21일 ~ 2004년 6월 17일, 18부작, 텔레비전 드라마, 문화방송, , 김인영 ," 명세빈, 이태란, 변정수, 유준상 외",2004-04-21 00:00:00
고백, 2002년 7월 1일 ~ 2002년 8월 20일, 16부작, 드라마, 문화방송, , 이란 ," 원미경, 유인촌, 정선경, 이응경 외",2002-07-01 00:00:00
우리는중산층, 1991년 8월 7일 ~ 1991년 9월 26일, 16부작, 드라마, 한국방송공사,, 박영한," 선우은숙, 송옥숙, 백준기, 민욱 외",1991-08-07 00:00:00
행복하고싶어요, 1994년 2월 14일 ~ 1994년 7월 9일, 125부작, 드라마, SBS,, 김혜수," 김혜선 (배우), 나한일, 홍요섭, 장태은 외",1994-02-14 00:00:00
까레이스키, 1994년 12월 19일 ~ 1995년 3월 7일, 22부작, 텔레비전 드라마, 문화방송, , 이상현 ," 김희애, 황인성 (배우), 김병세, 도지원 외",1994-12-19 00:00:00
수줍은연인, 1998년 9월 16일 ~ 1998년 11월 19일, 20부작, 텔레비전 드라마, 문화방송, , 주찬옥 ," 주현, 박원숙, 김서라, 차승원, 감우성, 심혜진, 채림 외",1998-09-16 00:00:00
아들의여자, 1994년 10월 19일 ~ 1995년 4월 13일, 52부작, 드라마, 문화방송,, 최성실," 채시라, 정보석, 차인표, 김민종 외",1994-10-19 00:00:00
못잊어, 1982년 10월 23일 ~ 1983년 4월 3일, 46부작, 텔레비전 드라마, 문화방송, , 홍승연," 정애리, 이덕화, 전운, 나문희 외",1982-10-23 00:00:00
울밑에선봉선화, 1989년 11월 6일 ~ 1990년 8월 31일, ," 드라마, 코미디", 한국방송공사, , 박정란," 김윤경 (1949년), 김미숙, 권기선, 전인화 외",1989-11-06 00:00:00
사랑하는당신, 1992년 11월 18일 ~ 1993년 4월 1일, 52부작, 텔레비전 드라마, 서울방송, , 이주 ," 김세윤, 서승현, 홍리나, 이동진 외",1992-11-18 00:00:00
내인생의단비, 2012년 4월 2일 ~ 2012년 8월 31일, 106부작," 드라마, 연속극", SBS, 크레아웍스(김기범), 고봉황 ," 이다희 (배우), 심형탁, 류상욱, 신주아 외",2012-04-02 00:00:00
굳세어라금순아, 2005년 2월 14일 ~ 2005년 9월 30일, 163부작, 텔레비전 드라마, MBC TV, , 이정선 (작가)," 한혜진 (배우), 강지환 외",2005-02-14 00:00:00
눈먼새의노래, 1994년 12월 12일 ~ 1994년 12월 13일, 2부작, 텔레비전 드라마, MBC, MBC, 이정란 (작가)," 안재욱, 김혜수",1994-12-12 00:00:00
종이학, 1998년 10월 31일 ~ 1999년 5월 2일, 54부작, 드라마, KBS 2TV,, 조소혜," 류시원, 명세빈, 송윤아 외",1998-10-31 00:00:00
사랑하세요?, 1999년 11월 20일 ~ 2000년 3월 19일, 36부작, 드라마 텔레비전 드라마, KBS 2TV, , 최현경," 최수종, 이승연, 김민종, 추상미 외",1999-11-20 00:00:00
백수탈출, 2003년 4월 26일 ~ 2003년 8월 24일, 36부작, 텔레비전 드라마, SBS TV, , 한준영," 이정진, 김현수 (1978년) 외",2003-04-26 00:00:00
하얀민들레, 1979년 5월 7일 ~ 1979년 9월 15일,, 텔레비전 드라마, MBC, , 신봉승," 박근형, 김용림, 김자옥, 김영란 (배우), 전운 외",1979-05-07 00:00:00
그햇살이나에게, 2002년 1월 2일 ~ 2002년 2월 21일, 16부작, 드라마, MBC TV, MBC C&I, 김인영 (작가)," 김소연 (1980년), 류시원, 박광현 (배우), 유선 (배우) 외",2002-01-02 00:00:00
전설의고향-1997년, 1997년 7월 12일 ~ 1997년 10월 5일, 26부작, 텔레비전 드라마, KBS 2TV, ,  , ,1997-07-12 00:00:00
궁합이맞습니다, 1992년 5월 20일 ~ 1992년 11월 12일, 52부작, 텔레비전 드라마, 서울방송,, 서영명," 최명길 (배우), 이영범, 길용우, 태민영 외",1992-05-20 00:00:00
당신이그리워질때, 1993년 9월 13일 ~ 1994년 12월 30일, 313부작, 드라마, 한국방송공사,, 이금림," 박지영 (1969년), 김규철, 김명수 (배우), 유하영 외",1993-09-13 00:00:00
홍천기, 1993년 9월 13일 ~ 1994년 12월 30일, 313부작, 드라마, 한국방송공사,, 이금림," 박지영 (1969년), 김규철, 김명수 (배우), 유하영 외",1993-09-13 00:00:00
춤추는가얏고, 1990년 8월 27일 ~ 1990년 10월 16일, 16부작, 텔레비전 드라마, 문화방송, , 정하연," 고두심, 김무생, 오연수, 김자옥 외",1990-08-27 00:00:00
장미정원, 1992년 7월 13일 ~ 1992년 9월 1일, 16부작, 텔레비전 드라마, 서울방송, , 이영우," 하희라, 김혜선, 유동근, 나영희 외",1992-07-13 00:00:00
사랑의종말, 1990년 1월 10일 ~ 1990년 4월 26일, 31회, 텔레비전 드라마, 문화방송, , 정하연 ," 원미경, 이덕화, 임채무 외",1990-01-10 00:00:00
아일랜드, 2004년 9월 1일 ~ 2004년 10월 21일, 16부작, 드라마 , MBC,, 인정옥," 이나영, 김민준, 김민정 (배우), 현빈 등",2004-09-01 00:00:00
사랑만할래, 2014년 6월 2일 ~ 2014년 12월 12일, 123부작, 드라마 · 연속극, SBS TV," 김용진, 이선상SBS 플러스, 커튼콜 (기업)", 최윤정 (1968년)," 서하준, 임세미, 이규한 (배우), 김예원 (1987년), 남보라, 윤종훈 (배우) 외",2014-06-02 00:00:00
엄마도예쁘다, 2010년 4월 5일 ~ 2010년 10월 23일, 174부작, 텔레비전 드라마, KBS 제2TV, , 권민수," 김자옥, 김동현 등",2010-04-05 00:00:00
막돼먹은영애씨11, 2012년 11월 29일 ~ 2013년 3월 28일, 18부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 명수현, 임수미, 한설희"," 김현숙 (희극인), 김산호 외",2012-11-29 00:00:00
꼭지, 2000년 3월 25일 ~ 2000년 9월 10일, 50부작, 드라마, KBS 2TV, KBS 드라마본부, 이경희 (1969년)," 이종원 (배우), 원빈, 김희정 (1992년) 외",2000-03-25 00:00:00
폭풍속으로, 1997년 3월 3일 ~ 1997년 4월 15일, 14부, 드라마, KBS 2TV,," 서미애, 권영갑"," 이창훈 (1966년), 유호정, 오대규, 송윤아 외",1997-03-03 00:00:00
새엄마, 2001년 11월 5일 ~ 2002년 8월 3일, 233부작," 드라마, 소설", KBS 1TV, ," 이현재, 이향원 "," 이혜숙, 김갑수 (배우) 외",2001-11-05 00:00:00
장미의전쟁, 2004년 3월 20일 ~ 2004년 6월 6일, 23부작, 텔레비전 드라마, 문화방송, 제이에스픽쳐스, 김선영 → 노유경," 최진실, 최수종, 송선미, 류진 (배우) 외",2004-03-20 00:00:00
로망스, 2002년 5월 8일 ~ 2002년 6월 27일, 16부작, 텔레비전 드라마, 문화방송, MBC C&I, 배유미 (작가), 아래 참고,2002-05-08 00:00:00
나는그녀가좋다, 2000년 1월 3일 ~ 2000년 2월 21일, 16부작, 드라마, 한국방송공사,, 한준영," 안재환, 명세빈, 김정현 (배우), 이재은 외",2000-01-03 00:00:00
몽실언니, 1990년 9월 1일 ~ 1990년 12월 30일, 36부작, 드라마, 문화방송, , ," 한진희, 이경진, 임은지 (배우), 임동진",1990-09-01 00:00:00
사랑아사랑아," 2012년 5월 7일 ~ 2013년 1월 4일
2013년 4월 9일 ~ 2014년 1월 7일 (1TV 재방송)", 175부작, 텔레비전 드라마 · 소설, KBS 제2TV, KBS 드라마 제작국," 손지혜, 정현민"," 황선희, 송채윤, 오창석, 김산호 外",2012-05-07 00:00:00
대원군, 1990년 5월 6일 ~ 1990년 12월 23일, 32부작, 사극 드라마, 문화방송,, 신봉승," 임동진, 엄유신, 고두심, 최수종, 정명환, 김홍석, 김희애, 김은정 (1970년), 이진우 (배우), 이정훈 (배우)",1990-05-06 00:00:00
옥탑방고양이, 2003년 6월 2일 ~ 2003년 7월 22일, 16부작, 드라마, MBC, ," 민효정, 구선경"," 김래원, 정다빈 (1980년), 최정윤, 이현우 (1966년) 외",2003-06-02 00:00:00
나는달린다, 2003년 10월 22일 ~ 2003년 12월 11일, 16부작, 드라마, MBC TV, , 이경희¹," {{단순목록}}
 김강우
 채정안
 이종수 (배우)
 김정현 (배우)
 고준희
 문정혁
{{단순목록끝}}",2003-10-22 00:00:00
우리집여자들, 2011년 5월 16일 ~ 2011년 11월 4일 (1TV 본방송)2011년 5월 26일 ~ 2011년 11월 11일 (2TV 재방송), 125부작, 텔레비전 드라마, KBS 1TV,, 유윤경," 정은채, 제이 (1983년), 윤아정, 최민성 외",2011-05-16 00:00:00
맹가네전성시대, 2002년 10월 26일 ~ 2003년 2월 23일, 36부작, 홈드라마, 문화방송, , 박예랑 ," 채시라, 이재룡, 최강희 (배우), 류수영 외",2002-10-26 00:00:00
어느멋진날, 2006년 5월 31일 ~ 2006년 7월 20일, 16부작, 텔레비전 드라마, MBC TV, , 손은혜 ," 공유 (배우), 성유리, 남궁민 (1978년), 이연희 외",2006-05-31 00:00:00
이부부가사는법, 2001년 10월 8일 ~ 2002년 3월 29일, 120부작, 드라마, SBS,, 서영명," 박소현 (배우), 이영하 (배우), 김보연, 송기윤 외",2001-10-08 00:00:00
여자의남자, 1993년 11월 8일 ~ 1993년 12월 28일, 16부작," 드라마, 멜로", 문화방송, 시네텔서울, 유상욱," 정보석, 김혜수, 김주승 외",1993-11-08 00:00:00
이별없는아침, 2001년 3월 12일 ~ 2001년 10월 6일, 178부작, 드라마, SBS, , 정지우 (작가)," 송채환, 선우재덕, 최수린, 안정훈 (배우), 유서진, 김정현 (배우)",2001-03-12 00:00:00
맨발의청춘, 1998년 2월 2일 ~ 1998년 3월 24일, 16부작, 드라마, KBS2,, 이찬규," 배용준, 고소영 외",1998-02-02 00:00:00
빛나라은수, 2016년 11월 28일 ~ 2017년 5월 26일, 125부작, 드라마, KBS 1TV, ,," 이영은 (1982년), 박하나, 김동준 (가수), 최정원 (1981년 5월) 외",2016-11-28 00:00:00
남풍, 1978년 1월 30일 ~ 1978년 4월 7일, , 드라마, MBC TV, , 오재호," 이장현, 임예진, 박노식 외
}}

《남풍》은 1978년 1월 30일부터 1978년 4월 7일까지 방영한 문화방송 일일연속극이다.뉴스 인용 

 등장 인물 
 이장현
 임예진
 박노식
 전운
 오지명
 김영애
 김무생
 남능미
 박원숙

 각주 
{{각주}}

{{전후 방송",1978-01-30 00:00:00
두려움없는사랑, 1992년 5월 2일 ~ 1992년 10월 25일, 52부작, , SBS, , 홍승연," 고현정, 최재성 외",1992-05-02 00:00:00
무자식상팔자, 2012년 10월 27일 ~ 2013년 3월 17일, 40부작, 텔레비전 드라마, JTBC, 삼화네트웍스, 김수현," 이순재, 서우림, 유동근, 김해숙, 송승환, 임예진, 윤다훈, 견미리 외",2012-10-27 00:00:00
불량커플, 2007년 6월 2일 ~ 2007년 7월 22일, 16부작, 드라마, SBS, , 최순식 (작가)," 신은경 (1973년), 류수영, 변정수, 최정윤 외",2007-06-02 00:00:00
천추태후, 2009년 1월 3일 ~ 2009년 9월 27일, ," 사극, 막장", KBS 2TV,," 손영목 (작가), 이상민, 강영란", 채시라김석훈최재성 (배우)김소은이인 (배우)이인혜김지훈 (1981년)김호진신애최철호김명수 (배우)문정희이진우 (배우)김병기 (배우)전무송심혜진반효정임혁이덕화,2009-01-03 00:00:00
백색미로, 1993년 10월 20일 ~ 1993년 12월 9일, 16부작, 드라마, KBS 2TV, KBS제작단, 윤혁민," 임동진, 김현주, 김흥기, 이치우 외",1993-10-20 00:00:00
사랑, 1998년 2월 2일 ~ 1998년 3월 24일, 16부작, 드라마 / 멜로, 문화방송, MBC 프로덕션," 주찬옥, 추영미, 최진원"," 장동건, 김미숙, 최지우, 송윤아, 구본승",1998-02-02 00:00:00
소문난여자, 2001년 4월 2일 ~ 2001년 10월 5일, 130부작, 텔레비전 드라마, SBS TV, SBS프로덕션, 박정란 ," 강성연, 박용하, 손지창, 김미숙 외",2001-04-02 00:00:00
빛과그림자, 1985년 4월 24일 ~ 1986년 1월 16일, 76부작, 드라마, 한국방송공사,, 이금림," 서인석 (배우), 차화연, 이덕희, 이낙훈 외",1985-04-24 00:00:00
착한여자백일홍, 2007년 10월 1일 ~ 2008년 4월 19일, 174부작, 텔레비전 드라마, KBS 2TV, KBS 드라마 제작국, 고봉황," 박소현 (배우), 김갑수 (배우), 이시환 (배우), 최환준 외",2007-10-01 00:00:00
장미와콩나물, 1999년 3월 13일 ~ 1999년 9월 5일, 51부작, 텔레비전 드라마, 문화방송,, 정성주," 김규리 (1979년 6월), 임채원, 최진실, 전혜진 (1970년) 외",1999-03-13 00:00:00
웃어라동해야, 2010년 10월 4일 ~ 2011년 5월 13일 (1TV 본방송)2010년 10월 21일 ~ 2011년 5월 20일 (2TV 재방송), 159부작, 텔레비전 드라마, KBS 1TV,, 문은아," 지창욱, 도지원, 오지은 (배우), 박정아 (연예인) 외",2010-10-04 00:00:00
댁의남편은어떠십니까?, 1993년 2월 22일 ~ 1993년 10월 19일, 70부작, 드라마, 서울방송,, 서영명," 길용우, 김영철 (배우), 유동근 외",1993-02-22 00:00:00
원미동사람들, 1988년 2월 8일 ~ 1988년 2월 29일, 8부작, 텔레비전 드라마, MBC, , 주찬옥," 신충식, 신국, 이도련, 정한헌 외",1988-02-08 00:00:00
딸부잣집, 1994년 9월 3일 ~ 1995년 4월 30일, 70부작, 텔레비전 드라마, 한국방송공사,, 이희우," 김세윤, 이휘향, 하유미 (배우), 전혜진 (1970년) 외",1994-09-03 00:00:00
남자를믿었네, 2011년 2월 28일 ~ 2011년 6월 3일, 69부작, 텔레비전 드라마, MBC TV," 엠비씨씨앤아이
김정호, 이형선", 주찬옥 ," 왕빛나, 심형탁, 우희진, 박상민, 김동욱, 홍수아 외",2011-02-28 00:00:00
머슴아와가이내, 1990년 12월 5일 ~ 1990년 12월 27일, 8부작, 드라마, 한국방송공사,, 송주환," 정승호, 선우은숙, 강영아, 변희봉 외",1990-12-05 00:00:00
대망, 2002년 10월 12일 ~ 2003년 1월 5일, 26부작, 퓨전 사극, SBS, 김종학 프로덕션, 송지나," 장혁, 이요원, 한재석, 손예진, 박상원 외",2002-10-12 00:00:00
환상의커플, 2006년 10월 14일 ~ 2006년 12월 3일, 16부작," 텔레비전 드라마, 코미디", MBC TV, 그룹에이트 송병준 (방송인)," 홍자매 (홍정은, 홍미란), 홍자매 (홍정은, 홍미란) "," 한예슬, 오지호 (배우), 김성민 (1973년), 박한별 외",2006-10-14 00:00:00
이브의모든것, 2000년 4월 26일 ~ 2000년 7월 6일, 20부작, 텔레비전 드라마, MBC TV, 강병문 MBC C&I," 박지현, 오수연"," 채림, 김소연 (1980년), 장동건, 한재석 외",2000-04-26 00:00:00
도쿄여우비, 2008년 6월 2일 ~ 2008년 6월 10일, 4부작, 드라마, SBS TV, , 김진희 (드라마 작가)," 김태우 (배우), 김사랑 (배우) 외",2008-06-02 00:00:00
진주목걸이, 2003년 9월 20일 ~ 2004년 3월 14일, 52부작, 드라마 드라마 음악, KBS 2TV,, 이덕재," 김민종, 김유미 (1979년), 윤태영 (배우) 외",2003-09-20 00:00:00
"런닝,구", 2010년 6월 10일 ~ 2010년 6월 17일, 4부작, 텔레비전 드라마, MBC TV, ," 최윤정 (1971년), 고정원"," 백성현, 박민영, 김미경 (배우) 외",2010-06-10 00:00:00
깍두기, 2007년 8월 18일 ~ 2008년 1월 27일, 44부작, 텔레비전 드라마, 문화방송, , 이덕재 ," 김승수 (1973년), 유호정, 박신혜 외",2007-08-18 00:00:00
때로는타인처럼, 1996년 9월 16일 ~ 1997년 3월 1일, 138부작, 드라마, SBS,,," 선우은숙, 한진희, 김자옥, 이순재",1996-09-16 00:00:00
너는내운명, 2008년 5월 5일 ~ 2009년 1월 9일, 178부작, 드라마, KBS 1TV, 한국방송공사, 문은아," 윤아, 박재정 (배우), 공현주 외",2008-05-05 00:00:00
인연만들기, 2009년 10월 10일 ~ 2010년 1월 24일, 31부작, 텔레비전 드라마, 문화방송," 올리브나인, 고대화, 임종원", 현고운," 유진 (연예인), 기태영, 김정난, 변우민 외",2009-10-10 00:00:00
로즈마리, 2003년 10월 29일 ~ 2003년 12월 25일, 18부작," 멜로, 휴먼", KBS 제2TV, KBS 드라마 제작국, 송지나 ," 유호정, 김승우, 배두나, 연정훈",2003-10-29 00:00:00
궁S, 2007년 1월 10일 ~ 2007년 3월 15일, 20부작," 판타지, 로맨스, 코미디", 문화방송, 그룹에이트," 이재순, 도영명"," 세븐 (가수), 허이재 등",2007-01-10 00:00:00
막돼먹은영애씨15, 2016년 10월 31일 ~ 2017년 1월 3일, 20부작," 텔레비전 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 인디뮤직, 드라마음악 인디뮤직, 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 인디뮤직, 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN,  CJ E&M 방송사업부문," 한설희, 백지현, 홍보희, 전지현"," 김현숙 (희극인), 이승준 (1973년) 외",2016-10-31 00:00:00
막돼먹은영애씨12, 2013년 7월 18일 ~ 2013년 11월 14일, 18부작 + 스페셜 1부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 명수현, 한설희, 백선우, 최보림", 김현숙 (희극인) 외,2013-07-18 00:00:00
사랑하기좋은날, 2007년 4월 23일 ~ 2007년 9월 29일, 136부작,, SBS TV,, 허숙," 오미연, 김성령, 조미령",2007-04-23 00:00:00
숙희, 1995년 4월 19일 ~ 1995년 10월 12일, 51부작, 드라마, 문화방송,, 이홍구 (1947년)," 고소영, 심은하, 임주완 외",1995-04-19 00:00:00
스파이명월, 2011년 7월 11일 ~ 2011년 9월 6일, 18부작 + 스페셜 1부작," 액션, 텔레비전 드라마 드라마음악", KBS 2TV," 이김프로덕션
조윤정"," 김은영, 김정아"," 에릭 (가수), 한예슬, 이진욱 외",2011-07-11 00:00:00
질주, 1997년 9월 1일 ~ 1997년 9월 30일, 10부작, 드라마, 한국방송공사,," 최연지, 김보정"," 김정현, 김규리 (1979년 6월), 김광필, 이현경 외",1997-09-01 00:00:00
마더, 2018년 1월 24일 ~ 2018년 3월 15일, 16부작," 범죄, 서스펜스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN, 박지영 THE UNICORN, 정서경," 이보영 (배우), 허율, 이혜영 (1962년) 외",2018-01-24 00:00:00
불온, 2013년 10월 3일, 1부작, , MBC, MBC," 정해리, 문수정"," 강하늘, 양진우, 손병호 외",2013-10-03 00:00:00
스카이캐슬, 2018년 11월 23일 ~ 2019년 2월 1일," 20부작본래 16부작으로 기획되었으나, 4부 연장되었다. + 스페셜 1부작", 텔레비전 드라마 드라마음악," JTBC (한국), 넷플릭스 (전세계)"," HB엔터테인먼트, 드라마하우스앤드제이콘텐트허브 문보미, 박준서", 유현미, 염정아 이태란 윤세아 오나라 (배우)김서형 외,2018-11-23 00:00:00
뜨거운강, 1986년 8월 6일 ~ 1987년 2월 26일, 58부작, 드라마, 한국방송공사,, 이금림," 김미숙, 서인석 (배우), 나영희, 임혁 외",1986-08-06 00:00:00
태양의후예," 2016년 2월 24일 ~ 2016년 4월 14일(본방), 2017년 11월 3일 ~ 2017년 12월 23일 (재방)", 16부작 + 스페셜 3부작," 휴먼, 액션, 멜로, 로맨스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV," 넥스트엔터테인먼트월드, 바른손, KBS 드라마본부 김우택, 서우식, 장경익"," 김은숙 (작가), 김원석 (1977년)"," 송중기, 송혜교, 진구, 김지원 (배우), 강신일 외",2016-02-24 00:00:00
미남이시네요, 2009년 10월 7일 ~ 2009년 11월 26일, 16부작, 뮤지컬 로코 드라마 OST OST OST, SBS TV," 본팩토리, 엠아이㈜ (구 마켓인사이트)
문석환, 박주희"," 홍자매 (홍정은, 홍미란), 홍자매 (홍정은, 홍미란) "," 장근석, 박신혜, 정용화, 이홍기
유이 (가수), 김인권, 최수은, 정찬 (배우)
최란, 김성령, 장원영 (배우), 성병숙
배그린, 김동연 (배우), 전혜영 외",2009-10-07 00:00:00
거인의손, 1994년 12월 5일 ~ 1994년 12월 6일, 2부작," 텔레비전 드라마, 전기", MBC, , 서희정," 전광렬, 이시은, 김인태 외",1994-12-05 00:00:00
형제의강, 1996년 10월 2일 ~ 1997년 4월 3일, 54부작, 드라마," 서울방송(모기업:태영건설),부산방송(현:KNN(모기업:넥센))",, 이희우," 박근형, 김영애 외",1996-10-02 00:00:00
당신뿐이야, 2011년 11월 7일 ~ 2012년 5월 4일, 128부작, 텔레비전 드라마, KBS 1TV, , 최민기 ," 서준영, 한혜린, 박정아 (연예인), 서도영 외",2011-11-07 00:00:00
미워도다시한번2009, 2009년 2월 4일 ~ 2009년 4월 23일, 24부작, 멜로, KBS 2TV, 오성민, 조희," 최명길 (배우), 박상원, 전인화 외",2009-02-04 00:00:00
성냥갑속의여자, 1994년 7월 11일 ~ 1994년 11월 26일, 118부작, 드라마, 서울방송,, 정하연," 이보희, 정애리, 최상훈 외",1994-07-11 00:00:00
우리들뜨거운노래, 1993년 3월 1일 ~ 1993년 5월 4일, 20부작, 텔레비전 드라마, 서울방송, , 최현경 ," 신애라, 이영범, 이낙훈, 박인환 (배우) 외",1993-03-01 00:00:00
강덕순애정변천사, 2017년 10월 5일, 1부작, 드라마, KBS 2TV,  , 백소연," 김소혜 (1999년), 오승윤 (1991년), 김여진 외",2017-10-05 00:00:00
바람꽃은시들지않는다, 1991년 10월 12일 ~ 1992년 3월 28일, 24부작, 대하드라마, KBS 1TV, , 이철향," 신혜수 (1965년), 정애리, 나한일, 임동진, 정동환",1991-10-12 00:00:00
위험한사랑, 1996년 8월 3일 ~ 1996년 9월 1일, 10부작, 텔레비전 드라마, 문화방송,, 이금주 ," 채시라, 이재룡, 선우재덕, 이일화 외",1996-08-03 00:00:00
